Set,Number,Name,Cost,Ink,Type,Rarity,Str,Will,Lore,Classification,Franchise,Std Price,Foil Price
The First Chapter,187/204,Prince Eric - Dashing and Brave,2,Steel,Character,Common,1,3,1,Dashing and Brave,Little Mermaid,$0.17,$1.20
The First Chapter,199/204,Ransack,2,Steel,Action,Uncommon,,,,,Emperor's New Groove,$0.16,$1.03
The First Chapter,188/204,Simba - Future King,1,Steel,Character,Common,1,2,1,Future King,Lion King,$0.57,$2.32
The First Chapter,189/204,Simba - Returned King,7,Steel,Character,Rare,4,6,2,Returned King,Lion King,$0.65,$0.87
The First Chapter,190/204,Simba - Rightful Heir,5,Steel,Character,Uncommon,3,5,2,Rightful Heir,Lion King,$0.18,$0.70
The First Chapter,200/204,Smash,3,Steel,Action,Uncommon,,,,,Frozen,$0.62,$4.14
The First Chapter,191/204,Starkey - Hook's Henchman,5,Steel,Character,Uncommon,5,4,1,Hook's Henchman,Peter Pan,$0.21,$0.59
The First Chapter,192/204,Te Ka - Heartless,6,Steel,Character,Legendary,5,5,2,Heartless,Moana,$5.49,$18.97
The First Chapter,193/204,Tinker Bell - Giant Fairy,6,Steel,Character,Super Rare,4,5,2,Giant Fairy,Peter Pan,$27.52,$42.54
The First Chapter,194/204,Tinker Bell - Tiny Tactician,3,Steel,Character,Common,2,4,1,Tiny Tactician,Peter Pan,$0.67,$2.88
D23 Promos,2,Stitch - Rock Star,6,Amber,Character,Promo,3,5,3,Rock Star,Lilo and Stitch,0,$20.00
D23 Promos,3,Elsa - Snow Queen,3,Amethyst,Character,Promo,2,3,1,Snow Queen,Frozen,0,$500.00
D23 Promos,4,Cruella de Vil - Miserable As Usual,2,Emerald,Character,Promo,1,3,1,Miserable As Usual,101 Dalmatians,0,"$1,200.00"
D23 Promos,5,Maleficent - Monstrous Dragon,9,Ruby,Character,Promo,7,5,2,Monstrous Dragon,Sleeping Beauty,0,"$1,251.50"
D23 Promos,1,Mickey Mouse - Brave Little Tailor,8,Ruby,Character,Promo,5,5,4,Brave Little Tailor,Standard Characters,0,"$1,279.29"
D23 Promos,6,Robin Hood - Unrivaled Archer,6,Sapphire,Character,Promo,4,4,2,Unrivaled Archer,Robin Hood,0,"$1,200.00"
D23 Promos,7,Captain Hook - Forceful Duelist,1,Steel,Character,Promo,1,2,1,Forceful Duelist,Peter Pan,0,"$1,251.50"
Disney Lorcana Promo Cards,12,Goofy - Musketeer,5,Amber,Character,Promo,3,6,1,Musketeer,Standard Characters,0,$190.99
Disney Lorcana Promo Cards,9,Heihei - Boat Snack,1,Amber,Character,Promo,1,2,1,Boat Snack,Moana,0,$13.98
Disney Lorcana Promo Cards,10,Yzma - Alchemist,2,Amethyst,Character,Promo,2,2,1,Alchemist,Emperor's New Groove,0,$15.94
Disney Lorcana Promo Cards,8,Mickey Mouse - Detective,3,Sapphire,Character,Promo,1,3,1,Detective,Standard Characters,0,$29.88
Disney Lorcana Promo Cards,11,Mickey Mouse - Musketeer,6,Steel,Character,Promo,2,7,2,Musketeer,Standard Characters,0,$175.43
